event,event_time,symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,last_qty,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,open_price,high_price,low_price,base_volume,quote_volume,open_time,close_time,first_trade_id,last_trade_id,trade_count
24hrTicker,2025-06-16T12:47:43.020+07:00,BTCUSDT,608.58,0.574,105490.8994,105949.99,106558.58,0.08496,106558.57,3.62416,106558.58,5.14617,105950,106785.71,104494.53,8943.67427,9.43E+08,2025-06-15T12:47:43.010+07:00,2025-06-16T12:47:43.010+07:00,5012478872,5014501822,2022951
24hrTicker,2025-06-16T12:47:44.020+07:00,BTCUSDT,608.59,0.574,105490.9124,105950,106558.58,0.10454,106558.57,3.75479,106558.58,5.66079,105949.99,106785.71,104494.53,8943.77896,9.43E+08,2025-06-15T12:47:44.012+07:00,2025-06-16T12:47:44.012+07:00,5012478876,5014501827,2022952
24hrTicker,2025-06-16T12:47:45.020+07:00,BTCUSDT,608.58,0.574,105490.9297,105950,106558.58,0.2512,106558.57,4.32477,106558.58,4.67918,105950,106785.71,104494.53,8943.92047,9.44E+08,2025-06-15T12:47:45.007+07:00,2025-06-16T12:47:45.007+07:00,5012478879,5014501833,2022955
24hrTicker,2025-06-16T12:47:46.020+07:00,BTCUSDT,608.58,0.574,105490.9307,105949.99,106558.58,0.26087,106558.57,3.62097,106558.58,4.57557,105950,106785.71,104494.53,8943.92802,9.44E+08,2025-06-15T12:47:46.010+07:00,2025-06-16T12:47:46.010+07:00,5012478883,5014501836,2022954
24hrTicker,2025-06-16T12:47:47.020+07:00,BTCUSDT,608.58,0.574,105490.931,105950,106558.57,0.00281,106558.57,4.29602,106558.58,3.99424,105949.99,106785.71,104494.53,8943.93078,9.44E+08,2025-06-15T12:47:47.010+07:00,2025-06-16T12:47:47.010+07:00,5012478884,5014501837,2022954
24hrTicker,2025-06-16T12:47:48.020+07:00,BTCUSDT,608.59,0.574,105490.9403,105950,106558.58,0.0839,106558.57,4.36291,106558.58,2.52977,105949.99,106785.71,104494.53,8943.99987,9.44E+08,2025-06-15T12:47:48.012+07:00,2025-06-16T12:47:48.012+07:00,5012478886,5014501839,2022954
24hrTicker,2025-06-16T12:47:49.021+07:00,BTCUSDT,608.58,0.574,105490.95,105949.99,106558.58,0.0817,106558.57,3.73567,106558.58,3.61468,105950,106785.71,104494.53,8944.08134,9.44E+08,2025-06-15T12:47:49.013+07:00,2025-06-16T12:47:49.013+07:00,5012478887,5014501842,2022956
24hrTicker,2025-06-16T12:47:50.014+07:00,BTCUSDT,608.58,0.574,105490.9503,105949.99,106558.58,0.00202,106558.57,1.97187,106558.58,3.92466,105950,106785.71,104494.53,8944.08356,9.44E+08,2025-06-15T12:47:50.008+07:00,2025-06-16T12:47:50.008+07:00,5012478887,5014501846,2022960
24hrTicker,2025-06-16T12:47:51.020+07:00,BTCUSDT,608.59,0.574,105490.9512,105949.99,106558.58,8.00E-05,106558.57,1.92452,106558.58,3.42892,105949.99,106785.71,104494.53,8944.0875,9.44E+08,2025-06-15T12:47:51.010+07:00,2025-06-16T12:47:51.010+07:00,5012478892,5014501850,2022959
24hrTicker,2025-06-16T12:47:52.020+07:00,BTCUSDT,608.59,0.574,105490.9271,105950,106558.58,0.00795,106558.57,4.02094,106558.58,4.04641,105949.99,106785.71,104494.53,8943.60856,9.43E+08,2025-06-15T12:47:52.005+07:00,2025-06-16T12:47:52.005+07:00,5012478933,5014501851,2022919
24hrTicker,2025-06-16T12:47:53.020+07:00,BTCUSDT,608.58,0.574,105490.9364,105949.99,106558.58,0.0863,106558.57,4.41138,106558.58,2.97194,105950,106785.71,104494.53,8943.68626,9.43E+08,2025-06-15T12:47:53.010+07:00,2025-06-16T12:47:53.010+07:00,5012478934,5014501852,2022919
24hrTicker,2025-06-16T12:47:54.020+07:00,BTCUSDT,601.84,0.568,105490.8723,105956.74,106558.58,0.0865,106558.57,4.41534,106558.58,3.08643,105956.74,106785.71,104494.53,8942.441,9.43E+08,2025-06-15T12:47:54.003+07:00,2025-06-16T12:47:54.003+07:00,5012479091,5014501853,2022763
24hrTicker,2025-06-16T12:47:55.014+07:00,BTCUSDT,601.84,0.568,105490.8723,105956.74,106558.58,0.0865,106558.57,4.49098,106558.58,2.87637,105956.74,106785.71,104494.53,8942.441,9.43E+08,2025-06-15T12:47:55.001+07:00,2025-06-16T12:47:55.001+07:00,5012479091,5014501853,2022763
24hrTicker,2025-06-16T12:47:56.020+07:00,BTCUSDT,601.83,0.568,105490.8723,105956.74,106558.57,4.80E-04,106558.57,4.44558,106558.58,3.62663,105956.74,106785.71,104494.53,8942.43551,9.43E+08,2025-06-15T12:47:56.002+07:00,2025-06-16T12:47:56.002+07:00,5012479093,5014501857,2022765
24hrTicker,2025-06-16T12:47:57.014+07:00,BTCUSDT,601.84,0.568,105490.8739,105956.74,106558.58,0.01299,106558.57,4.48649,106558.58,2.86268,105956.74,106785.71,104494.53,8942.4485,9.43E+08,2025-06-15T12:47:57.001+07:00,2025-06-16T12:47:57.001+07:00,5012479093,5014501859,2022767
24hrTicker,2025-06-16T12:47:58.020+07:00,BTCUSDT,601.83,0.568,105490.8852,105956.74,106558.58,0.10801,106558.57,4.63621,106558.58,1.37484,105956.75,106785.71,104494.53,8942.54343,9.43E+08,2025-06-15T12:47:58.013+07:00,2025-06-16T12:47:58.013+07:00,5012479094,5014501860,2022767
24hrTicker,2025-06-16T12:47:59.020+07:00,BTCUSDT,605.26,0.571,105490.9038,105956.75,106562.01,3.60E-04,106562.01,3.20303,106562.02,0.00681,105956.75,106785.71,104494.53,8942.69602,9.43E+08,2025-06-15T12:47:59.013+07:00,2025-06-16T12:47:59.013+07:00,5012479095,5014502010,2022916
24hrTicker,2025-06-16T12:48:00.020+07:00,BTCUSDT,616.65,0.582,105490.9079,105956.74,106573.39,0.00139,106573.38,6.72293,106573.39,3.22629,105956.74,106785.71,104494.53,8942.72451,9.43E+08,2025-06-15T12:48:00.013+07:00,2025-06-16T12:48:00.013+07:00,5012479105,5014502149,2023045
24hrTicker,2025-06-16T12:48:01.020+07:00,BTCUSDT,616.64,0.582,105490.908,105956.74,106573.39,0.00392,106573.38,8.33484,106573.39,2.50257,105956.75,106785.71,104494.53,8942.72206,9.43E+08,2025-06-15T12:48:01.013+07:00,2025-06-16T12:48:01.013+07:00,5012479109,5014502150,2023042
24hrTicker,2025-06-16T12:48:02.020+07:00,BTCUSDT,620.24,0.585,105490.9128,105956.75,106576.98,0.02103,106576.98,5.83255,106576.99,1.75381,105956.74,106785.71,104494.53,8942.74928,9.43E+08,2025-06-15T12:48:02.013+07:00,2025-06-16T12:48:02.013+07:00,5012479112,5014502246,2023135
24hrTicker,2025-06-16T12:48:03.020+07:00,BTCUSDT,620.56,0.586,105490.9142,105956.75,106577.3,1.50E-04,106577.29,9.20831,106577.3,0.91025,105956.74,106785.71,104494.53,8942.75965,9.43E+08,2025-06-15T12:48:03.001+07:00,2025-06-16T12:48:03.001+07:00,5012479116,5014502322,2023207
24hrTicker,2025-06-16T12:48:04.020+07:00,BTCUSDT,620.56,0.586,105490.9292,105956.75,106577.3,0.12768,106577.29,9.15798,106577.3,2.01136,105956.74,106785.71,104494.53,8942.87677,9.43E+08,2025-06-15T12:48:04.001+07:00,2025-06-16T12:48:04.001+07:00,5012479120,5014502354,2023235
24hrTicker,2025-06-16T12:48:05.020+07:00,BTCUSDT,623.25,0.588,105490.9329,105956.74,106579.99,0.00348,106579.99,10.52455,106580,0.02254,105956.74,106785.71,104494.53,8942.90739,9.43E+08,2025-06-15T12:48:05.012+07:00,2025-06-16T12:48:05.012+07:00,5012479121,5014502478,2023358
24hrTicker,2025-06-16T12:48:06.020+07:00,BTCUSDT,623.25,0.588,105490.9221,105956.75,106579.99,0.0129,106579.99,8.45046,106580,1.78253,105956.74,106785.71,104494.53,8942.68095,9.43E+08,2025-06-15T12:48:06.012+07:00,2025-06-16T12:48:06.012+07:00,5012479128,5014502482,2023355
24hrTicker,2025-06-16T12:48:07.020+07:00,BTCUSDT,623.24,0.588,105490.9221,105956.74,106579.99,0.0132,106579.99,8.44344,106580,1.94391,105956.75,106785.71,104494.53,8942.67917,9.43E+08,2025-06-15T12:48:07.005+07:00,2025-06-16T12:48:07.005+07:00,5012479131,5014502483,2023353
24hrTicker,2025-06-16T12:48:08.020+07:00,BTCUSDT,623.25,0.588,105490.9326,105956.74,106580,0.08943,106579.99,8.48388,106580,1.57327,105956.75,106785.71,104494.53,8942.7623,9.43E+08,2025-06-15T12:48:08.001+07:00,2025-06-16T12:48:08.001+07:00,5012479137,5014502511,2023375
24hrTicker,2025-06-16T12:48:09.020+07:00,BTCUSDT,623.25,0.588,105490.9401,105956.75,106580,0.1565,106579.99,7.95847,106580,3.06695,105956.75,106785.71,104494.53,8942.81678,9.43E+08,2025-06-15T12:48:09.008+07:00,2025-06-16T12:48:09.008+07:00,5012479141,5014502516,2023376
24hrTicker,2025-06-16T12:48:10.020+07:00,BTCUSDT,623.24,0.588,105490.9407,105956.75,106579.99,0.00497,106579.99,1.59612,106580,6.0621,105956.75,106785.71,104494.53,8942.82092,9.43E+08,2025-06-15T12:48:10.008+07:00,2025-06-16T12:48:10.008+07:00,5012479143,5014502519,2023377
24hrTicker,2025-06-16T12:48:11.020+07:00,BTCUSDT,623.25,0.588,105490.9405,105956.74,106580,4.40E-04,106579.99,1.49326,106580,7.31061,105956.75,106785.71,104494.53,8942.81532,9.43E+08,2025-06-15T12:48:11.001+07:00,2025-06-16T12:48:11.001+07:00,5012479151,5014502522,2023372
24hrTicker,2025-06-16T12:48:12.020+07:00,BTCUSDT,609.67,0.575,105490.9919,105956.74,106566.41,0.01157,106566.41,0.37958,106566.42,10.35574,105956.74,106785.71,104494.53,8943.12336,9.43E+08,2025-06-15T12:48:12.013+07:00,2025-06-16T12:48:12.013+07:00,5012479175,5014502718,2023544
24hrTicker,2025-06-16T12:48:13.020+07:00,BTCUSDT,609.67,0.575,105491.002,105956.75,106566.42,0.08536,106566.41,0.46742,106566.42,10.45705,105956.75,106785.71,104494.53,8943.20495,9.43E+08,2025-06-15T12:48:13.011+07:00,2025-06-16T12:48:13.011+07:00,5012479178,5014502721,2023544
24hrTicker,2025-06-16T12:48:14.020+07:00,BTCUSDT,602.08,0.568,105491.0241,105956.74,106558.83,0.00328,106558.83,0.41213,106558.84,11.58944,105956.75,106785.71,104494.53,8943.23576,9.43E+08,2025-06-15T12:48:14.010+07:00,2025-06-16T12:48:14.010+07:00,5012479181,5014502912,2023732
24hrTicker,2025-06-16T12:48:15.020+07:00,BTCUSDT,602.09,0.568,105491.0239,105956.75,106558.83,0.00343,106558.83,0.26418,106558.84,10.68156,105956.74,106785.71,104494.53,8943.23215,9.43E+08,2025-06-15T12:48:15.001+07:00,2025-06-16T12:48:15.001+07:00,5012479184,5014502913,2023730
24hrTicker,2025-06-16T12:48:16.020+07:00,BTCUSDT,598.38,0.565,105491.0618,105956.74,106555.13,0.0973,106555.12,1.0152,106555.13,10.39625,105956.75,106785.71,104494.53,8943.49525,9.43E+08,2025-06-15T12:48:16.005+07:00,2025-06-16T12:48:16.005+07:00,5012479188,5014503087,2023900
24hrTicker,2025-06-16T12:48:17.020+07:00,BTCUSDT,598.37,0.565,105491.0624,105956.75,106555.12,0.00398,106555.12,1.15008,106555.13,9.80625,105956.75,106785.71,104494.53,8943.49991,9.43E+08,2025-06-15T12:48:17.002+07:00,2025-06-16T12:48:17.002+07:00,5012479189,5014503091,2023903
24hrTicker,2025-06-16T12:48:18.020+07:00,BTCUSDT,598.38,0.565,105491.0656,105956.75,106555.13,0.03106,106555.12,1.28168,106555.13,10.67595,105956.75,106785.71,104494.53,8943.52188,9.43E+08,2025-06-15T12:48:18.009+07:00,2025-06-16T12:48:18.009+07:00,5012479194,5014503094,2023901
24hrTicker,2025-06-16T12:48:19.020+07:00,BTCUSDT,598.37,0.565,105491.0682,105956.75,106555.12,0.02208,106555.12,1.28046,106555.13,9.83145,105956.75,106785.71,104494.53,8943.54285,9.43E+08,2025-06-15T12:48:19.008+07:00,2025-06-16T12:48:19.008+07:00,5012479201,5014503096,2023896
24hrTicker,2025-06-16T12:48:20.020+07:00,BTCUSDT,598.38,0.565,105491.0762,105956.75,106555.13,0.08468,106555.12,1.25109,106555.13,9.41755,105956.75,106785.71,104494.53,8943.58791,9.43E+08,2025-06-15T12:48:20.010+07:00,2025-06-16T12:48:20.010+07:00,5012479226,5014503102,2023877
24hrTicker,2025-06-16T12:48:21.020+07:00,BTCUSDT,598.39,0.565,105491.0775,105956.75,106555.13,0.00185,106555.12,3.38657,106555.13,8.31662,105956.74,106785.71,104494.53,8943.59829,9.43E+08,2025-06-15T12:48:21.012+07:00,2025-06-16T12:48:21.012+07:00,5012479228,5014503106,2023879
24hrTicker,2025-06-16T12:48:22.020+07:00,BTCUSDT,598.38,0.565,105491.0773,105956.75,106555.12,7.00E-05,106555.12,5.12193,106555.13,1.39209,105956.74,106785.71,104494.53,8943.59543,9.43E+08,2025-06-15T12:48:22.001+07:00,2025-06-16T12:48:22.001+07:00,5012479231,5014503108,2023878
24hrTicker,2025-06-16T12:48:23.020+07:00,BTCUSDT,598.38,0.565,105491.089,105956.74,106555.13,0.09118,106555.12,6.12928,106555.13,0.46513,105956.75,106785.71,104494.53,8943.69195,9.43E+08,2025-06-15T12:48:23.005+07:00,2025-06-16T12:48:23.005+07:00,5012479241,5014503117,2023877
