event,event_time,symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,last_qty,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,open_price,high_price,low_price,base_volume,quote_volume,open_time,close_time,first_trade_id,last_trade_id,trade_count
24hrTicker,2025-06-10T15:46:16.023+07:00,BTCUSDT,3529.83,3.339,108651.79896081,105711.59,109241.41,0.08214,109241.4,3.19858,109241.41,3.58397,105711.58,110530.17,105687.95,21428.66114,2.3282625821826463E9,2025-06-09T15:46:16.011+07:00,2025-06-10T15:46:16.011+07:00,4993826255,4996882757,3056503
24hrTicker,2025-06-10T15:46:17.023+07:00,BTCUSDT,3536.92,3.346,108651.83772797,105704.47,109241.4,0.0183,109241.4,3.18145,109241.41,3.55939,105704.48,110530.17,105687.95,21428.40133,2.32823518407688E9,2025-06-09T15:46:17.001+07:00,2025-06-10T15:46:17.001+07:00,4993826406,4996882760,3056355
24hrTicker,2025-06-10T15:46:18.023+07:00,BTCUSDT,3536.92,3.346,108651.83846884,105704.48,109241.4,0.01141,109241.4,3.16852,109241.41,3.55592,105704.48,110530.17,105687.95,21428.4138,2.32823655484115E9,2025-06-09T15:46:18.011+07:00,2025-06-10T15:46:18.011+07:00,4993826407,4996882764,3056358
24hrTicker,2025-06-10T15:46:19.023+07:00,BTCUSDT,3536.92,3.346,108651.83853294,105704.48,109241.4,0.01224,109241.4,3.20746,109241.41,3.59233,105704.48,110530.17,105687.95,21428.41433,2.3282366138001676E9,2025-06-09T15:46:19.001+07:00,2025-06-10T15:46:19.001+07:00,4993826408,4996882767,3056360
24hrTicker,2025-06-10T15:46:20.023+07:00,BTCUSDT,3536.93,3.346,108651.83899318,105704.47,109241.4,0.01472,109241.4,3.20696,109241.41,3.63298,105704.47,110530.17,105687.95,21428.41396,2.3282365834610763E9,2025-06-09T15:46:20.001+07:00,2025-06-10T15:46:20.001+07:00,4993826411,4996882769,3056359
24hrTicker,2025-06-10T15:46:21.023+07:00,BTCUSDT,3536.93,3.346,108651.84142855,105704.47,109241.4,0.00101,109241.4,3.16361,109241.41,3.72147,105704.47,110530.17,105687.95,21428.39767,2.3282348657088284E9,2025-06-09T15:46:21.001+07:00,2025-06-10T15:46:21.001+07:00,4993826438,4996882773,3056336
24hrTicker,2025-06-10T15:46:22.023+07:00,BTCUSDT,3536.94,3.346,108651.84309268,105704.47,109241.41,0.00676,109241.4,3.15525,109241.41,3.6926,105704.47,110530.17,105687.95,21428.41718,2.328237021165842E9,2025-06-09T15:46:22.008+07:00,2025-06-10T15:46:22.008+07:00,4993826440,4996882777,3056338
24hrTicker,2025-06-10T15:46:23.022+07:00,BTCUSDT,3536.94,3.346,108651.84435512,105704.47,109241.41,2.2E-4,109241.4,3.14256,109241.41,3.69229,105704.47,110530.17,105687.95,21428.42323,2.3282377055615134E9,2025-06-09T15:46:23.001+07:00,2025-06-10T15:46:23.001+07:00,4993826458,4996882779,3056322
24hrTicker,2025-06-10T15:46:24.023+07:00,BTCUSDT,3541.39,3.35,108651.85699918,105700.02,109241.41,0.00141,109241.4,3.05929,109241.41,4.17786,105700.02,110530.17,105687.95,21428.34046,2.328228983389674E9,2025-06-09T15:46:24.001+07:00,2025-06-10T15:46:24.001+07:00,4993826576,4996882784,3056209
24hrTicker,2025-06-10T15:46:25.023+07:00,BTCUSDT,3541.37,3.35,108651.85947704,105700.02,109241.4,0.03008,109241.4,3.11571,109241.41,4.18131,105700.03,110530.17,105687.95,21428.35856,2.328231003084747E9,2025-06-09T15:46:25.012+07:00,2025-06-10T15:46:25.012+07:00,4993826601,4996882786,3056186
