event,event_time,symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,last_qty,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,open_price,high_price,low_price,base_volume,quote_volume,open_time,close_time,first_trade_id,last_trade_id,trade_count
24hrTicker,2025-06-10T15:38:30.293+07:00,FDUSDUSDT,2.00E-04,0.02,0.998521,0.998,0.9983,18,0.9983,1.43E+07,0.9984,1.07E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:30.019+07:00,2025-06-10T15:38:30.019+07:00,292291614,292496186,204573
24hrTicker,2025-06-10T15:38:31.294+07:00,FDUSDUSDT,3.00E-04,0.03,0.998521,0.9981,0.9984,48,0.9983,1.43E+07,0.9984,1.07E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:31.012+07:00,2025-06-10T15:38:31.012+07:00,292291615,292496194,204580
24hrTicker,2025-06-10T15:38:33.294+07:00,FDUSDUSDT,4.00E-04,0.04,0.998521,0.9981,0.9984,61,0.9983,1.43E+07,0.9984,1.07E+07,0.998,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:33.192+07:00,2025-06-10T15:38:33.192+07:00,292291616,292496195,204580
24hrTicker,2025-06-10T15:38:34.293+07:00,FDUSDUSDT,4.00E-04,0.04,0.998521,0.9981,0.9984,61,0.9983,1.43E+07,0.9984,1.07E+07,0.998,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:33.895+07:00,2025-06-10T15:38:33.895+07:00,292291616,292496195,204580
24hrTicker,2025-06-10T15:38:35.293+07:00,FDUSDUSDT,3.00E-04,0.03,0.998521,0.9981,0.9983,6,0.9983,1.43E+07,0.9984,1.07E+07,0.998,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:35.263+07:00,2025-06-10T15:38:35.263+07:00,292291616,292496196,204581
24hrTicker,2025-06-10T15:38:36.294+07:00,FDUSDUSDT,2.00E-04,0.02,0.998521,0.998,0.9983,18,0.9983,1.43E+07,0.9984,1.08E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:35.738+07:00,2025-06-10T15:38:35.738+07:00,292291617,292496198,204582
24hrTicker,2025-06-10T15:38:37.293+07:00,FDUSDUSDT,2.00E-04,0.02,0.998521,0.998,0.9983,18,0.9983,1.43E+07,0.9984,1.08E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:36.386+07:00,2025-06-10T15:38:36.386+07:00,292291617,292496198,204582
24hrTicker,2025-06-10T15:38:40.294+07:00,FDUSDUSDT,3.00E-04,0.03,0.99852101,0.9981,0.9984,132,0.9983,1.43E+07,0.9984,1.08E+07,0.9981,0.9993,0.998,4.19E+08,4.18E+08,2025-06-09T15:38:39.683+07:00,2025-06-10T15:38:39.683+07:00,292291625,292496199,204575
24hrTicker,2025-06-10T15:38:47.438+07:00,USDCUSDT,1.00E-04,0.01,0.99943878,0.9994,0.9995,46590,0.9994,5.84E+07,0.9995,4.49E+07,0.9994,0.9996,0.9993,1.44E+09,1.44E+09,2025-06-09T15:38:47.332+07:00,2025-06-10T15:38:47.332+07:00,279604377,279889632,285256
24hrTicker,2025-06-10T15:38:48.438+07:00,USDCUSDT,0,0,0.99943878,0.9994,0.9995,55671,0.9994,5.84E+07,0.9995,4.49E+07,0.9995,0.9996,0.9993,1.44E+09,1.44E+09,2025-06-09T15:38:48.296+07:00,2025-06-10T15:38:48.296+07:00,279604378,279889634,285257
